palabras,frecuencia
que,444
matricula,352
puedo,257
retiro,211
debo,192
solicitud,191
como,188
hacer,156
constancia,140
ciclo,129
hola,113
autoseguro,112
curso,110
total,109
si,106
quiero,105
pagar,98
modelo,92
cuando,85
parcial,78
solicitar,73
matricularme,69
realizar,66
retirarme,60
donde,59
cual,59
saber,59
reserva,57
pago,56
horario,55
cursos,55
buenas,54
algun,52
procedimiento,52
enviar,50
estudios,50
tramite,49
reincorporacion,48
formato,41
carnet,40
dias,37
fechas,37
alumno,36
notas,36
quisiera,34
mas,33
tramitar,33
semana,31
fecha,30
solo,30
horarios,29
rezagado,29
universitario,28
siguiente,28
debe,27
matrícula,27
cambio,27
puedes,26
llevando,25
consulta,24
rezagada,24
regular,23
correo,23
gracias,22
cuanto,22
pagos,22
hora,21
tiempo,21
motivos,21
colocar,20
turno,20
seccion,20
ingresante,19
reincorporación,19
paso,18
presentar,17
posible,17
costo,16
podria,16
cómo,16
pude,16
aerito,15
tal,15
tardes,15
duda,15
justificar,15
estadistica,15
todavia,14
proceso,14
solicito,14
documentos,14
oficina,14
cuales,13
obtener,13
reservar,13
dime,12
pague,12
decirme,12
motivo,12
existe,12
reincoporacion,12
dia,11
limite,11
voy,11
podre,11
uni,11
ahora,10
seguir,10
paga,10
pasado,10
decano,10
institucional,10
gratis,9
aun,9
encontrar,9
llevo,9
reincorporarme,9
dirigida,9
atencion,9
vez,9
porfavor,8
pagarlo,8
segundo,8
salud,8
segunda,8
buen,7
buenos,7
informacion,7
universidad,7
toca,7
hoy,7
perdi,7
necesario,7
periodo,7
atiende,7
luego,6
nuevo,6
necesito,6
puede,6
día,6
pasa,6
problemas,6
internet,6
encuentro,6
habilitara,6
procedo,6
qué,6
matriculado,6
permite,6
hago,6
3,6
cuál,6
aera,6
repetido,6
adios,5
vemos,5
ok,5
noches,5
veo,5
habilita,5
cuánto,5
carrera,5
primer,5
cronograma,5
recien,5
perdí,5
dicta,5
cuándo,5
podría,5
indicarme,5
presente,5
sistema,5
asignaturas,5
retirarse,5
documento,5
acceder,5
valido,5
gratuito,5
quien,5
ayuda,4
seria,4
redactar,4
parte,4
banco,4
sección,4
realizo,4
estan,4
i,4
unico,4
cantidad,4
4,4
maximo,4
razones,4
anterior,4
chau,3
pronto,3
oye,3
deseo,3
datos,3
tambien,3
solicitarlo,3
voucher,3
recojo,3
ver,3
metodo,3
fundamentos,3
programacion,3
fisica,3
b,3
clases,3
justifique,3
justifican,3
procede,3
poder,3
trabajo,3
algún,3
postular,3
beca,3
ir,3
estadística,3
desaprobado,3
bye,2
amigo,2
hi,2
muchas,2
favor,2
ayudar,2
tramitarlo,2
pasos,2
ultima,2
cuáles,2
covid,2
subir,2
retomar,2
dni,2
solcitud,2
inglés,2
español,2
consultar,2
facilitar,2
nombre,2
encontra,2
tramitarla,2
intercambio,2
abierto,2
lindo,1
adiós,1
placer,1
hablar,1
holis,1
holaeeeeeeeeeeee,1
díaq,1
vas,1
bot,1
ninguna,1
dudas,1
consultas,1
nope,1
ultimo,1
momento,1
claro,1
decir,1
constula,1
dicho,1
cuesta,1
precio,1
demo,1
realiza,1
todavía,1
trámite,1
monto,1
exacto,1
solictud,1
horaro,1
pregunta,1
obtengo,1
perdirle,1
tramito,1
