intent_name,examples,label
procedimiento_tramites_fechas,cuando ya puedo presentar la solicitud,5
denegar_mas_ayuda,es todo gracias,2
horario_atencion_aera,una consulta mas cual el horario de atencion presencial de Estadística?,43
costo_tramite,cuanto cuesta el tramite,6
matricula_rezagada__procedimiento,como es el procedimiento para la matricula rezagada,17
matricula_procedimiento,como realizo mi matrícula,8
retiro_parcial__procedimiento,"Buenos dias, ¿Qué pasos debo seguir para el retiro parcial?",21
reserva_matricula__fechas,cual es la fecha para enviar la solicitud de reserva de matricula,30
formato_solicitud,tambien quisiera que me envie el modelo si hay para la solicitud,4
procedimiento_tramites_fechas,hasta cuando puedo presentarlo,5
cambio_seccion,"Hola que tal, dime como realizo un cambio de seccion",18
constancia_de_notas__procedimiento,"Buenas tardes, voy a postular para a una beca necesito una constancia de notas en inglés ¿Cuál es el procedimeinto?",39
retiro_parcial__fechas,"Hola, ¿Hasta cuando puedo hacer el retiro parcial?",20
pago_autoseguro__fechas,tengo una consulta con cuantos dias antes de la matricula se debe pagar el autoseguro,14
constancia_matricula__solicitud_procedimiento,quisiera tramitar una constancia de matricula a quien le puedo consultar,36
reserva_matricula__fechas,aun puedo enviar la solicitud de reserva de matricula ?,30
saludo,como vas,1
cursos_horarios,ya salieron los horarios de los cursos?,19
retiro_total__requisitos_documentos_justificacion,quiero realizar el retiro total por razones de salud pero actualmente no tengo una constancia salud en necesario que consiga una para solicitar mi retiro?,25
retiro_parcial__fechas,puedo hacer el retiro parcial todavia estamos ya en la sexta semana?,20
carnet_universitario__solicitud,es necesario entregar mi voucher de pago para mi carnet,11
costo_tramite,si cuanto es el costo,6
constancia_matricula__pago,¿Cuánto se paga por la Constancia de Matrícula?,37
retiro_parcial__unico_curso,puedo hacer el retiro parcial si solo estoy llevando un curso,22
retiro_parcial__unico_curso,si estoy matricula en una solo asignatura es posible retirarme ese curso,22
reincorporacion__costo,el tramite de reincoporacion se debe pagar o es gratuito?,34
denegar_mas_ayuda,"no, gracias",2
matricula_procedimiento,ya realize los pagos que me dijeron para la matricula debo enviar las boletas?,8
retiro_total__requisitos_documentos_justificacion,como debo justificar el retiro total?,25
reserva_matricula__procedimiento,¿Cómo reservo mi matricula?,29
cursos_horarios,"Hola, no logro encontrar los horarios de los cursos donde estas ?",19
constancia_de_notas__formato_solicitud,me puedes enviar un modelo para la solicitud de constancia de notas,40
retiro_parcial__fechas,"Hola, cuándo inicia el retiro parcial?",20
reserva_matricula__procedimiento,"Buenos dias, quisiera realizar reserva de matrícula para este periodo que viene por cuestiones de salud .¿Que procedimiento deberia seguir?",29
retiro_parcial__cursos_repetidos,es posible que haga un retiro parcial de un curso que he repetido?,45
perdida_turno_matricula,no puede matricularme por problemas de internet paso a matricula rezagada entonces ?,16
carnet_universitario__solicitud,el carnet universitario es gratis?,11
matricula_rezagada__procedimiento,"Buenas noches, que pasos debo seguir para la matricula rezagada",17
procedimiento_tramites_fechas,la siguiente semana puedo enviar la solicitud,5
formato_solicitud,¿Cuál es el modelo para la solicitud?,4
constancia_matricula__solicitud_procedimiento,"Buenas noches, cual es el procedimiento para tramitar mi constancia de matricula ?",36
formato_solicitud,que modelo debe seguir la solicitud?,4
pago_autoseguro_procedimiento,en donde puedo pagar el autoseguro?,15
costo_tramite,debo pagar algo?,6
matricula_rezagada__procedimiento,"buenos dias, no pude matricularme en la fecha que me correspondía, cual es el procedimiento para rezagado",17
matricula_rezagada__procedimiento,debo pagar algo para que me habiliten la matricula rezagada,17
solicitud_correo_institucional_procedimiento,"hola que tal, todavia no me han dado mi correo uni, a quien puedo pedirle?",44
pago_autoseguro__fechas,que pasa si no pago el autoseguro con los 3 dias de anticipación?,14
retiro_total__procedimiento,El retiro total es presencial?,28
despedida,hasta pronto,0
constancia_de_estudios__procedimiento,"he sido eligido para una beca del pronabec pero me estan pidiendo una constancia de estudios, donde puedo tramitarla y cuanto debo pagar",42
cambio_seccion,"Hola, quiero hacer un cambio de seccion",18
retiro_parcial__unico_curso,"Buenas noches, estoy llevando un solo curso y el sistema no me permite retirarme",22
formato_solicitud,como puedo conseguir un modelo para la solicitud,4
reincorporacion__procedimiento,"Hola, quisiera tramitar mi reicorporacion como puedo proceder como mi matricula",32
reserva_matricula__formato_solicitud,aparte de mi dni y mi codigo que ma debo colocar en la solicitud de reserva de matricula?,31
matricula__horarios,que turno soy en la matricula?,13
matricula__procedimiento_alumno_regular,Soy alumno regular como es el proceso de matricula,9
reserva_matricula__formato_solicitud,la solicitud de reserva de matricula es solo una solicitud simpre dirigida al decano?,31
confirmar_requerir_mas_ayuda,si me puedes ayudar con esto,3
matricula__cronograma,si dime cuales son las fechas de matricula,12
matricula_rezagada__procedimiento,que hago para que se me habilite el sistema de matricula por rezagado,17
pago_autoseguro__fechas,Soy rezagado si no pago el autoseguro con dias de anticipacion a la matricula,14
retiro_total__procedimiento,"Buenos días, me veo obligada de retirarme de todos los cursos por motivos de trabajo, cual es el procedimiento por favor",28
saludo,buenas,1
reserva_matricula__procedimiento,"Buenas noches, quisiera saber como puedo hacer una reserva de matricula y ¿Hasta cuándo tengo plazo para presentar mi solicitud? ya que este ciclo que viene no podré llevarlo bien por motivos de trabajo.",29
reincorporacion__formato_solicitud,estoy buscando el modelo de la solitud de reincorporacion y no lo encuetro puedes decirme donde esta ?,35
retiro_total__motivos_procede,cual es un motivo valido para acceder al retiro total?,26
retiro_parcial__fechas,"Buenas, ¿Cuáles son las fechas para realizar el retiro parcial?",20
horario_atencion_aera,Puede decirme cual es el horario de atencion de la oficina de estadistica?,43
matricula_procedimiento,debo hacer algo para habilitar mi matricula,8
perdida_turno_matricula,"Buenas noches, no he tenido internet todo el dia y no pude matricularme que debo hacer",16
carnet_universitario__solicitud,a donde voy para tramitar mi carnet,11
costo_tramite,debo pagar algo por este tramite,6
retiro_parcial__cursos_repetidos,quiero retirarme de un curso que llevo por segunda pero el sistema no me deja como hago?,45
retiro_parcial__unico_curso,"este ciclo solo pude matricular en un solo curso, pero no creo poder seguir asistiendo y quisiera retirarme",22
solicitud_correo_institucional_procedimiento,como tramito mi correo uni,44
matricula_procedimiento,como es el proceso para la matricula,8
retiro_parcial__cursos_repetidos,quero solicitar el retiro de un curso que estoy llevando por segunda vez,45
formato_solicitud,una consulta hay algun modelo para la solicitud,4
reincorporacion__procedimiento,"Hola, quiero solicitar mi reincorporación para este periodo cual seria el procedimiento que debo seguir ?",32
retiro_total__formato_solicitud,"hola aeito, un favor necesito el modelo para la solcitud de retiro total me lo pudes enviar porfavor?",27
reincorporacion__costo,el tramite de reincoporacion es gratuito o tiene algun costo ?,34
constancia_de_notas__procedimiento,las constancia de notas la solicito en escuelas academicas?,39
pago_autoseguro_procedimiento,"Buenas tardes, como pago el autoseguro",15
retiro_parcial__procedimiento,"HOla, deseo realizar el retiro parcial de varios curso como procedo",21
reincorporacion__procedimiento,quisiera reincorporarme este ciclo que deberia hacer,32
